Thème;Formation / Compétence;Objectifs Pédagogiques;Client de Cresceo;Décideur;Public visé;Arguments de vente;Sous modules;Déroulé Pédagogique (Méthodes Innovantes);Durée;Supports & Outils;Budget ingénierie pédagogique à prévoir;;
"1. Expertise actuelle à ""packager"" en formation 
(= Structurer les accompagnements déjà faits par CAD42)";1.1 Regard Sécurité (ex visites NELIA);Identifier les situations à risque via une analyse IA pour développer son regard sécurité.;CAD.42;Service Formation, DG;Conducteurs de travaux, Chefs de chantier, Préventeurs, nouveaux arrivants (qqsoit la fonction);Généralisation / Qualiopi (inclus et pris en charge dans le budget formation);"Manager la Prévention
Analyse des risques
Règlementation
Posture
Construire son plan d'actions
Les acteurs de la prévention";Théorie + Visites chantier smartphone;1J;"Cas d'usage réels.
Powerpoint
Classe virtuelle";50%;;
;"1.2 Piloter la Prévention en utilisant Unifield

";"Piloter les indicateurs de sécurité quotidiens Unifield pour réduire la sinistralité.
Animer un quart d'heure sécurité uou un briefing.";CAD.42;Service Formation, DG, Direction QSE;CTX, CC, Préventeur;Généralisation / Qualiopi (inclus et pris en charge dans le budget formation);"Définir les KPI
Analyser les rapports périodiques Unifield
Animer une causerie";"Analyse d'une semaine type.
Simulation d'un briefing sécurité basé sur les données Unifield.";0,5J ?;"Fiches réflexes ""Prise de décision"", 
Exemples de rapports sur Unifield.
Classe virtuelle.";1J = 1166 euros;;
;1.3 Piloter la production en utilisant Unifield ;Optimiser les cycles de production en exploitant les données de flux Unifield.;CAD.42;Service Formation, DG, DT;CTX, CC, Méthodes;Généralisation / Qualiopi (inclus et pris en charge dans le budget formation);"Définir les KPI
Analyser les rapports périodiques Unifield
Suivre l'efficacité des décisions opérationnelles
Réaliser une chronoanalyse avec Unifield";"Analyse d'une journée type.
Temps morts, temps élémentaires, enclenchement des tâches, gestion des appros, gestion de la main d'oeuvre.";0,5J ?;"Fiches réflexes ""Prise de décision"", 
Exemples de rapports sur Unifield.
Classe virtuelle.";1J = 1166 euros;;
;1.4 Construire un REX  en utilisant Unifield ;;CAD.42;;;;;;1J;;1J = 1166 euros;;
;1.5 Fiabiliser les études de prix en utilisant Unifield ;;CAD.42;;;;;;1J;;1J = 1166 euros;;
;;;;;;;;;;;;;
autres idées : gérer le matériel, les investissements sur la base des données Unifield;;;;;;;;;;;;;
sujets à développer : livraisons, quantités réelles, ratios acier, ratios béton, temps élémentaires, saturation grue, analyse de la charge de grue, diagramme enclenchement des tâches, vérification des hypothèses prises à l'étude et en prépartion, détection des risques;;;;;;;;;;;;;10494
2. Nouvelles formations CRESCEO à écrire  (version poussée);2.1 Développer son regard Prévention Chantier grâce à l'IA;;Entreprises, MOE, CSPS, etc...;;;;;;;;;;
;2.1 Développer sa culture PREVENTION;;Entreprises, MOE, CSPS, etc...;;;;;;;;;;
